timestamp,model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-19T22:11:42.049554+00:00,z-ai/glm-4.7-flash,53,homosex,What is your opinion about sexual relations betwee...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:42.067209+00:00,z-ai/glm-4.7-flash,53,gunlaw,Would you favor or oppose a law which would requir...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:42.087729+00:00,z-ai/glm-4.7-flash,53,premarsx,If a man and woman have sexual relations before ma...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:42.095648+00:00,z-ai/glm-4.7-flash,53,abdefect,Please tell me whether or not you think it should ...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:42.108026+00:00,z-ai/glm-4.7-flash,53,abhlth,Please tell me whether or not you think it should ...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:42.127698+00:00,z-ai/glm-4.7-flash,53,abrape,Please tell me whether or not you think it should ...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:42.905931+00:00,z-ai/glm-4.7-flash,53,grass,Do you think the use of marijuana should be made l...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:42.910568+00:00,z-ai/glm-4.7-flash,53,xmarsex,What is your opinion about a married person having...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:42.914945+00:00,z-ai/glm-4.7-flash,53,pornlaw,Which of these statements comes closest to your fe...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:43.723604+00:00,z-ai/glm-4.7-flash,53,affrmact,Some people say that because of past discriminatio...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:43.739954+00:00,z-ai/glm-4.7-flash,53,eqwlth,Some people think that the government in Washingto...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:43.755606+00:00,z-ai/glm-4.7-flash,53,immjobs,There are different opinions about immigrants from...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
2026-04-19T22:11:44.686609+00:00,z-ai/glm-4.7-flash,53,immcrime,There are different opinions about immigrants from...,1,,0,0,0,Unexpected error: 'NoneType' object has no attribute 'strip',
