"respondent_id","persona"
1,"I am 33 years old. I am male. I am Black or African American. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999. I am a not very strong Democrat. I am moderate (middle of the road). I attend religious services every week."
2,"I am 64 years old. I am male. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $60,000 to $74,999. I am a strong Democrat. I am slightly liberal. I never attend religious services."
3,"I am 69 years old. I am female. I am White. I am married. I had 2 years of college education. My family income is $110,000 to $129,999. I am a strong Democrat. I am extremely liberal. I never attend religious services."
4,"I am 19 years old. I am male. I am of another race. I have never been married. I completed high school (12th grade). My family income is $150,000 to $169,999. I am an independent (neither Democrat nor Republican). I attend religious services several times a year."
5,"I am 70 years old. I am female. I am White. I am divorced. I had 1 year of college education. My family income is $60,000 to $74,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services nearly every week."
6,"I am 53 years old. I am male. I am of another race. I am married. I had 2 years of college education. My family income is $7,000 to $7,999. I am an independent (neither Democrat nor Republican). I attend religious services 2-3 times a month."
7,"I am 48 years old. I am female. I am White. I am married. I had 1 year of college education. My family income is $170,000 or more. I am a strong Democrat. I am liberal. I never attend religious services."
8,"I am 30 years old. I am female. I am White. I am divorced. I had 2 years of college education. My family income is $8,000 to $9,999. I am moderate (middle of the road). I attend religious services several times a year."
9,"I am 60 years old. I am female. I am Black or African American. I am married. I had 2 years of college education. My family income is $170,000 or more. I am a not very strong Democrat. I am moderate (middle of the road). I attend religious services every week."
10,"I am 25 years old. I am male. I am Black or African American. I have never been married. I completed high school (12th grade). I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services less than once a year."
11,"I am 23 years old. I am female. I am White. I have never been married. I had 6 years of college education (master's degree). My family income is $110,000 to $129,999. I am a strong Democrat. I am liberal. I never attend religious services."
12,"I am 68 years old. I am female. I am White. I am widowed. I completed 5th grade. My family income is $8,000 to $9,999. I am an independent, close to Democrat. I am extremely liberal. I never attend religious services."
13,"I am 43 years old. I am female. I am White. I am divorced. I had 2 years of college education. My family income is $60,000 to $74,999. I never attend religious services."
14,"I am 37 years old. I am female. I am White. I am divorced. I completed high school (12th grade). My family income is $75,000 to $89,999. I am an independent (neither Democrat nor Republican). I am extremely liberal. I never attend religious services."
15,"I am 63 years old. I am female. I am White. I am divorced. I completed high school (12th grade). My family income is $17,500 to $19,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services every week."
16,"I am 31 years old. I am female. I am White. I am married. I had 7 years of college education. My family income is $90,000 to $109,999. I am a strong Democrat. I am slightly liberal. I attend religious services about once or twice a year."
17,"I am 64 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am an independent, close to Republican. I am moderate (middle of the road). I never attend religious services."
18,"I am White. I am married. I had 1 year of college education. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road)."
19,"I am 63 years old. I am female. I am White. I am married. I completed 11th grade. My family income is $110,000 to $129,999. I am a strong Republican. I am slightly conservative. I attend religious services about once or twice a year."
20,"I am 41 years old. I am female. I am White. I am divorced. I completed 8th grade. My family income is $60,000 to $74,999. I am a not very strong Democrat. I am moderate (middle of the road). I attend religious services less than once a year."
21,"I am 75 years old. I am female. I am White. I am divorced. I had 1 year of college education. My family income is $25,000 to $29,999. I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services more than once a week."
22,"I am 51 years old. I am female. I am of another race. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am a strong Democrat. I am liberal. I attend religious services 2-3 times a month."
23,"I am 69 years old. I am male. I am White. I am divorced. I had 2 years of college education. My family income is $130,000 to $149,999. I am a not very strong Republican. I am moderate (middle of the road). I attend religious services less than once a year."
24,"I am 48 years old. I am male. I am White. I am married. I completed high school (12th grade). My family income is $110,000 to $129,999. I am a strong Republican. I am conservative. I attend religious services several times a year."
25,"I am 58 years old. I am male. I am of another race. I am married. I had 2 years of college education. My family income is $150,000 to $169,999. I am a not very strong Democrat. I am moderate (middle of the road). I attend religious services 2-3 times a month."
26,"I am 71 years old. I am male. I am White. I am married. I had 6 years of college education (master's degree). My family income is $170,000 or more. I am a not very strong Republican. I am slightly conservative. I attend religious services every week."
27,"I am 73 years old. I am female. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more. I am a strong Democrat. I am moderate (middle of the road). I attend religious services about once or twice a year."
28,"I am 74 years old. I am female. I am White. I am married. I had 2 years of college education. My family income is $150,000 to $169,999. I am a strong Democrat. I am moderate (middle of the road). I never attend religious services."
29,"I am 56 years old. I am female. I am White. I am married. I had 2 years of college education. My family income is $30,000 to $34,999. I am a strong Republican. I am conservative. I attend religious services about once a month."
30,"I am 40 years old. I am male. I am of another race. I am married. I had 2 years of college education. I am a not very strong Democrat. I am slightly liberal."
31,"I am 55 years old. I am female. I am White. I am married. I had 1 year of college education. I am a not very strong Republican. I am slightly conservative. I attend religious services about once or twice a year."
32,"I am 55 years old. I am female. I am White. I am married. I had 6 years of college education (master's degree). I am an independent (neither Democrat nor Republican). I am moderate (middle of the road). I attend religious services 2-3 times a month."
33,"I am 31 years old. I am male. I am of another race. I have never been married. I completed high school (12th grade). My family income is $90,000 to $109,999. I am a not very strong Democrat. I never attend religious services."
